CodigoMunicipio,Municipio,AliquotaISS
4100103,ABATIA,3.00
4100202,ADRIANOPOLIS,5.00
4100301,AGUDOS DO SUL,5.00
4100400,ALMIRANTE TAMANDARE,5.00
4100459,ALTAMIRA DO PARANA,2.00
4100509,ALTONIA,3.00
4100608,ALTO PARANA,2.00
4100707,ALTO PIQUIRI,3.00
4100806,ALVORADA DO SUL,3.00
4100905,AMAPORA,2.50
4101002,AMPERE,3.50
4101051,ANAHY,5.00
4101101,ANDIRA,3.00
4101150,ANGULO,2.00
4101200,ANTONINA,3.00
4101309,ANTONIO OLINTO,4.00
4101408,APUCARANA,2.50
4101507,ARAPONGAS,5.00
4101606,ARAPOTI,2.00
4101655,ARAPUA,3.00
4101705,ARARUNA,5.00
4101804,ARAUCARIA,5.00
4101853,ARIRANHA DO IVAI,5.00
4101903,ASSAI,5.00
4102000,ASSIS CHATEAUBRIAND,3.00
4102109,ASTORGA,5.00
4102208,ATALAIA,5.00
4102307,BALSA NOVA,4.00
4102406,BANDEIRANTES,5.00
4102505,BARBOSA FERRAZ,5.00
4102604,BARRACAO,3.00
4102703,BARRA DO JACARE,5.00
4102752,BELA VISTA DA CAROBA,3.00
4102802,BELA VISTA DO PARAISO,5.00
4102901,BITURUNA,2.00
4103008,BOA ESPERANCA,5.00
4103024,BOA ESPERANCA DO IGUACU,3.00
4103040,BOA VENTURA DE SAO ROQUE,3.00
4103057,BOA VISTA DA APARECIDA,3.00
4103107,BOCAIUVA DO SUL,3.00
4103156,BOM JESUS DO SUL,3.00
4103206,BOM SUCESSO,5.00
4103222,BOM SUCESSO DO SUL,2.50
4103305,BORRAZOPOLIS,5.00
4103354,BRAGANEY,3.00
4103370,BRASILANDIA DO SUL,3.00
4103404,CAFEARA,2.00
4103453,CAFELANDIA,3.00
4103479,CAFEZAL DO SUL,5.00
4103503,CALIFORNIA,5.00
4103602,CAMBARA,3.00
4103701,CAMBE,3.00
4103800,CAMBIRA,3.00
4103909,CAMPINA DA LAGOA,3.00
4103958,CAMPINA DO SIMAO,3.00
4104006,CAMPINA GRANDE DO SUL,5.00
4104055,CAMPO BONITO,5.00
4104105,CAMPO DO TENENTE,3.00
4104204,CAMPO LARGO,2.00
4104253,CAMPO MAGRO,3.00
4104303,CAMPO MOURAO,5.00
4104402,CANDIDO DE ABREU,4.00
4104428,CANDOI,5.00
4104451,CANTAGALO,5.00
4104501,CAPANEMA,3.00
4104600,CAPITAO LEONIDAS MARQUES,5.00
4104659,CARAMBEI,2.00
4104709,CARLOPOLIS,5.00
4104808,CASCAVEL,3.00
4104907,CASTRO,3.00
4105003,CATANDUVAS,3.00
